id,image path,caption,page number,chapter number,chapter name,book name,Author
,/Users/ohyoungmo/Bauhausorbits/14_The_New_Vision_and_Abstract_of_an_Artist_text/14_The_New_Vision_and_Abstract_of_an_Artist_text_23pg(2).png,"Constantin Brancusi, 1926, The fish",23,-,-,The New Vision and Abstract of an Artist,Laszlo Mohly-Nagy
,/Users/ohyoungmo/Bauhausorbits/14_The_New_Vision_and_Abstract_of_an_Artist_text/14_The_New_Vision_and_Abstract_of_an_Artist_text_23pg(3).png,"Alexander Archipenko, 1936 Sculpture",23,-,-,The New Vision and Abstract of an Artist,Laszlo Mohly-Nagy
,/Users/ohyoungmo/Bauhausorbits/14_The_New_Vision_and_Abstract_of_an_Artist_text/14_The_New_Vision_and_Abstract_of_an_Artist_text_24pg(1).png,"Auguste Rodin, 1900. Purgatory",24,-,-,The New Vision and Abstract of an Artist,Laszlo Mohly-Nagy
,/Users/ohyoungmo/Bauhausorbits/14_The_New_Vision_and_Abstract_of_an_Artist_text/14_The_New_Vision_and_Abstract_of_an_Artist_text_24pg(2).png,"The New Bauhaus, first semester 1937. Scultures by K.O brien, W.Greene, T.Van Vossen, B.Rubin, P.Pavlicek",24,-,-,The New Vision and Abstract of an Artist,Laszlo Mohly-Nagy
,/Users/ohyoungmo/Bauhausorbits/14_The_New_Vision_and_Abstract_of_an_Artist_text/14_The_New_Vision_and_Abstract_of_an_Artist_text_24pg(3).png,"L.Moholy-Nagy, 1921. Nickel sculpture",24,-,-,The New Vision and Abstract of an Artist,Laszlo Mohly-Nagy
,/Users/ohyoungmo/Bauhausorbits/14_The_New_Vision_and_Abstract_of_an_Artist_text/14_The_New_Vision_and_Abstract_of_an_Artist_text_24pg(4).png,"N. Gabo, 1926. Construction",24,-,-,The New Vision and Abstract of an Artist,Laszlo Mohly-Nagy
,/Users/ohyoungmo/Bauhausorbits/14_The_New_Vision_and_Abstract_of_an_Artist_text/14_The_New_Vision_and_Abstract_of_an_Artist_text_24pg(5).png,"Jacques Lipchitz, 1928. Sculpture",24,-,-,The New Vision and Abstract of an Artist,Laszlo Mohly-Nagy
,/Users/ohyoungmo/Bauhausorbits/14_The_New_Vision_and_Abstract_of_an_Artist_text/14_The_New_Vision_and_Abstract_of_an_Artist_text_25pg(1).png,"Johannes Zabel(Bauhaus, first semester, 1923) Construction in equilibrium",25,-,-,The New Vision and Abstract of an Artist,Laszlo Mohly-Nagy
,/Users/ohyoungmo/Bauhausorbits/14_The_New_Vision_and_Abstract_of_an_Artist_text/14_The_New_Vision_and_Abstract_of_an_Artist_text_25pg(2).png,"The seven biotechnical elements:crystal, sphere, cone, plate, strip, rod and spiral",25,-,-,The New Vision and Abstract of an Artist,Laszlo Mohly-Nagy
,/Users/ohyoungmo/Bauhausorbits/14_The_New_Vision_and_Abstract_of_an_Artist_text/14_The_New_Vision_and_Abstract_of_an_Artist_text_25pg(3).png,"Irngard Sörensen-Popitz(bauhaus, first semseter, 1924) Equipoised scrulpture",25,-,-,The New Vision and Abstract of an Artist,Laszlo Mohly-Nagy
,/Users/ohyoungmo/Bauhausorbits/14_The_New_Vision_and_Abstract_of_an_Artist_text/14_The_New_Vision_and_Abstract_of_an_Artist_text_25pg(4).png,"R. Koppe(first semester, 1937) Virtual colume produced through the rotation of a wire construction",25,-,-,The New Vision and Abstract of an Artist,Laszlo Mohly-Nagy
,/Users/ohyoungmo/Bauhausorbits/14_The_New_Vision_and_Abstract_of_an_Artist_text/14_The_New_Vision_and_Abstract_of_an_Artist_text_25pg(5).png,"Virtual volume. A lighted merry-go-round revolving(blcakpool, England).",25,-,-,The New Vision and Abstract of an Artist,Laszlo Mohly-Nagy
,/Users/ohyoungmo/Bauhausorbits/14_The_New_Vision_and_Abstract_of_an_Artist_text/14_The_New_Vision_and_Abstract_of_an_Artist_text_26pg(1).png,"Georges Vantaongerloo, 1917. Construction within a sphere as if the outer shell has been removed",26,-,-,The New Vision and Abstract of an Artist,Laszlo Mohly-Nagy
,/Users/ohyoungmo/Bauhausorbits/14_The_New_Vision_and_Abstract_of_an_Artist_text/14_The_New_Vision_and_Abstract_of_an_Artist_text_26pg(2).png,"Joost Schmidt, 1928. Hyperboloid sculpture.",26,-,-,The New Vision and Abstract of an Artist,Laszlo Mohly-Nagy
,/Users/ohyoungmo/Bauhausorbits/14_The_New_Vision_and_Abstract_of_an_Artist_text/14_The_New_Vision_and_Abstract_of_an_Artist_text_27pg(1).png,"N. Lerner(new bauhaus, first semester, 1937) Light volume study",27,-,-,The New Vision and Abstract of an Artist,Laszlo Mohly-Nagy
,/Users/ohyoungmo/Bauhausorbits/14_The_New_Vision_and_Abstract_of_an_Artist_text/14_The_New_Vision_and_Abstract_of_an_Artist_text_30pg(1).png,Space relationship created through the position of rods.,30,-,-,The New Vision and Abstract of an Artist,Laszlo Mohly-Nagy
,/Users/ohyoungmo/Bauhausorbits/14_The_New_Vision_and_Abstract_of_an_Artist_text/14_The_New_Vision_and_Abstract_of_an_Artist_text_31pg(1).png,"O. Firle, 1928, Elevator shaft",31,-,-,The New Vision and Abstract of an Artist,Laszlo Mohly-Nagy
,/Users/ohyoungmo/Bauhausorbits/14_The_New_Vision_and_Abstract_of_an_Artist_text/14_The_New_Vision_and_Abstract_of_an_Artist_text_31pg(2).png,Volume and space relationships.,31,-,-,The New Vision and Abstract of an Artist,Laszlo Mohly-Nagy
,/Users/ohyoungmo/Bauhausorbits/14_The_New_Vision_and_Abstract_of_an_Artist_text/14_The_New_Vision_and_Abstract_of_an_Artist_text_31pg(3).png,"Le Corbusier, 1925, Dwelling house",31,-,-,The New Vision and Abstract of an Artist,Laszlo Mohly-Nagy
,/Users/ohyoungmo/Bauhausorbits/14_The_New_Vision_and_Abstract_of_an_Artist_text/14_The_New_Vision_and_Abstract_of_an_Artist_text_32pg(1).png,The Eiffel Tower,32,-,-,The New Vision and Abstract of an Artist,Laszlo Mohly-Nagy
,/Users/ohyoungmo/Bauhausorbits/14_The_New_Vision_and_Abstract_of_an_Artist_text/14_The_New_Vision_and_Abstract_of_an_Artist_text_32pg(2).png,"L.Moholy-Nagy,The construction scheme of the Kinetic constructive system 1922",32,-,-,The New Vision and Abstract of an Artist,Laszlo Mohly-Nagy
,/Users/ohyoungmo/Bauhausorbits/14_The_New_Vision_and_Abstract_of_an_Artist_text/14_The_New_Vision_and_Abstract_of_an_Artist_text_33pg(1).png,"Frank Lloyd Wright, Robie House, Chicago, 1906",33,-,-,The New Vision and Abstract of an Artist,Laszlo Mohly-Nagy
,/Users/ohyoungmo/Bauhausorbits/14_The_New_Vision_and_Abstract_of_an_Artist_text/14_The_New_Vision_and_Abstract_of_an_Artist_text_33pg(2).png,"Walter Gropius, 1926, The bauhaus of Dessau",33,-,-,The New Vision and Abstract of an Artist,Laszlo Mohly-Nagy
