id,image path,caption,page number,chapter number,chapter name,book name,Author
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_36pg(1).png,The triadic Ballet,36,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_37pg(1).png,The triadic Ballet,37,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_38pg(1).png,The triadic Ballet,38,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_39pg(1).png,The triadic Ballet,39,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_40pg(1).png,The triadic Ballet,40,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_42pg(1).png,no discription,42,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_43pg(1).png,The figural Cainet,43,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_43pg(2).png,The figural Cainet,43,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_44pg(1).png,no discription,44,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_45pg(1).png,"Set for ""Meta or the Pantomime of places""",45,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
